institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,18
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,112627945,"Faculty of Computer Science, Universtias Indonesia, Yogyakarta, Indonesia, 55283",Indonesia,18
United States,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",60013609,60024997,"University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD, United States, 21201",United States,18
United States,"Notre Dame of Maryland University, 4701 North Charles Street, Baltimore, MD, United States, 21210",60003038,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,18
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,106597813,"Department of Business Development and Technology, Nordre Ringgade 1, Aarhus, Denmark, 8000",Denmark,18
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,113905066,"Department of Information Technology, Kampus Bukit Jimbaran, Kabupaten Badung,, Bali, West Nusa Tenggara, Indonesia",Indonesia,17
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60025272,"University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo, Tokyo, Japan, 113-8654",Japan,17
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,112837444,"Department of Computer Science, Depok, Java, Indonesia, 16424",Indonesia,17
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,114186060,"STKO Lab, Santa Barbara, CA, United States, 93106-0001",United States,17
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,121841273,"Universitas Indonesia, Jl. Margonda Raya, Pondok Cina, Beji, Kota Depok, Depok, West Java, Indonesia, 16424",Indonesia,17
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,104608856,"Department of Engineering Education, 1600 Old Main Hill, Logan, UT, United States, 84322-1400",United States,17
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60018306,"Wright State University, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",United States,17
Indonesia,"Department of Information Systems, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",114292120,123304129,"Computer Siene Department, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,17
United States,"STKO Lab, Santa Barbara, CA, United States, 93106-0001",114186060,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,17
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,123304129,"Computer Siene Department, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,16
Indonesia,"Department of Information Systems, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",114292120,60103610,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,16
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60025017,"Nara Institute of Science and Technology, 8916-5 Takayamacho, Ikoma, Nara, Japan, 630-0192",Japan,16
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60017161,"National University of Singapore, 21 Lower Kent Ridge Road, Singapore City, Singapore, 119077",Singapore,16
