dosen_fasilkom,h_index,full_name,id_author,funding,sum_paper
no,1,Muhammad Rizki Aulia Rahman Maulana,57208722837,GPU Grant - NVIDIA,3
no,2,Meidi Kosandi,55648638200,Hibah PITTA - Universitas Indonesia,3
no,11,Marcel Kyas,55973105000,The Directorate General of Higher Education (DGHE) of Indonesia,3
no,1,Muhammad Rizki Aulia Rahman Maulana,57208722837,Hibah PITTA - Universitas Indonesia,3
yes,6,Bobby Achirul Awal Nazief,6508196587,Hibah PITTA - Universitas Indonesia,3
yes,9,Achmad Nizar Hidayanto,57205093001,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,3
yes,7,Putu Wuri Handayani,37013424100,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,3
no,34,Daniel A. Reed,57203104388,The National Aeronautics and Space Administration (NASA),2
yes,2,Clara Vania,55008384600,LPDP - Ministry of Finance Republic of Indonesia,2
no,16,Kongkiti Peter Phusavat,13403740100,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,1,Rinda Wahyuni,57200213915,Hibah PITTA - Universitas Indonesia,2
no,32,Pascal Hitzler,8876646400,Fulbright Indonesia Presidential Scholarship PhD Grant,2
yes,4,Setiadi Yazid,6506236236,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,6,David Carral,55813191900,The National Science Foundation,2
no,1,Muhammad Muhtar Baswara Achsan,57204415604,Hibah PITTA - Universitas Indonesia,2
yes,2,Clara Vania,55008384600,University of Edinburgh,2
yes,2,Clara Vania,55008384600,The UK EPSRC Grant,2
yes,4,Muhammad Rifki Shihab,56363073800,Hibah PIT9 - Universitas Indonesia,2
no,0,Annisa Monicha Sari,57207598085,Hibah PITTA - Universitas Indonesia,2
no,0,Zikri Irfandi,57209975989,Hibah PITTA - Universitas Indonesia,2
no,4,Intan Nurma Yulita,55233408900,LPDP - Ministry of Finance Republic of Indonesia,2
yes,7,Ari Wibisono,55625531300,Hibah PIT9 - Universitas Indonesia,2
yes,3,Ave Adriana Pinem,56626063000,Hibah PIT9 - Universitas Indonesia,2
no,1,Deki Satria,57200214510,Hibah PITTA - Universitas Indonesia,2
yes,8,Adila Alfa Krisnadhi,23467371600,Fulbright Indonesia Presidential Scholarship PhD Grant,2
no,13,Adam P. Lopez,24553796900,University of Edinburgh,2
no,3,Dewa Made Sri Arsa,57193834508,Hibah PITTA - Universitas Indonesia,2
no,3,Dewa Made Sri Arsa,57193834508,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,1,Fatimah Azzahro,57194160083,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,1,Izzah Fadhilah Akmaliah,57200217166,Hibah PITTA - Universitas Indonesia,2
yes,6,Bobby Achirul Awal Nazief,6508196587,The National Aeronautics and Space Administration (NASA),2
no,2,Karel Juryca,57193824396,University of Pardubice,2
no,34,Daniel A. Reed,57203104388,The National Science Foundation,2
no,1,Prahastiwi Utari,56268555600,Hibah PITTA - Universitas Indonesia,2
no,3,Dumilah Ayuningtyas,56461361200,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,30,Krzysztof Janowicz,13610913700,The National Science Foundation,2
no,6,Jan Pidanič,21834743200,Czech Ministry of Industry and Trade,2
no,2,Karel Juryca,57193824396,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,37,Alistair M. Moffat,35586971600,"QUE Project - Faculty of Computer Science, Universitas Indonesia",2
no,1,Abid Nurul Hakim,57201983095,Hibah PITTA - Universitas Indonesia,2
no,1,Shidiq Al Hakim,57201134787,Hibah PITTA - Universitas Indonesia,2
yes,5,Wahyu Catur Wibowo,56126778500,Multi-discipline Research Grant - Universitas Indonesia,2
no,2,Karel Juryca,57193824396,Czech Ministry of Industry and Trade,2
yes,10,M. Ivan Fanany,6505757323,LPDP - Ministry of Finance Republic of Indonesia,2
yes,8,Ari Saptawijaya,15064729000,Hibah PITTA - Universitas Indonesia,2
yes,6,Heru Suhartanto,16423632300,Czech Ministry of Industry and Trade,2
yes,6,Heru Suhartanto,16423632300,University of Pardubice,2
yes,6,Heru Suhartanto,16423632300,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
yes,6,Heru Suhartanto,16423632300,Hibah PITTA - Universitas Indonesia,2
yes,8,Muhammad Anwar Ma’sum,54974181100,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,2
no,3,Puji Rahayu,55514008400,Hibah PITTA - Universitas Indonesia,2
no,0,Tashia Indah Nastiti,57202774843,Hibah PITTA - Universitas Indonesia,2
no,2,Indra Hermawan,55625519100,The United States Agency for International Development (USAID),2
no,1,Rizky Septiani,57200523895,Hibah PITTA - Universitas Indonesia,2
no,13,Adam P. Lopez,24553796900,The UK EPSRC Grant,2
yes,6,Dana Indra Sensuse,53264793000,Hibah PIT9 - Universitas Indonesia,2
no,6,Jan Pidanič,21834743200,University of Pardubice,2
yes,3,Evi Yulianti,57200186028,The Australian Research Council,2
no,19,Falk Scholer,56254255800,LPDP - Ministry of Finance Republic of Indonesia,2
no,19,Falk Scholer,56254255800,The Australian Research Council,2
