couple_1,couple_2,sum_paper
104100909,103268808,1
104100909,120368546,2
104100909,103936965,1
104100909,112247832,1
104100909,103441304,1
60021508,104100824,2
60021508,60019778,1
60021508,60000762,1
60021508,60030168,1
60021508,60013881,1
60021508,60015481,1
60021508,120368546,1
60021508,103936965,1
60021508,112247832,1
104100824,120368546,1
104100824,103936965,1
104100824,112247832,1
60009358,60003038,1
60003038,100261271,2
60003038,60033011,8
60003038,104676705,4
60003038,60013609,18
60003038,60024997,4
60003038,60082102,2
60003038,60020760,4
60003038,104475822,1
60003038,114027201,1
100261271,104476028,2
100261271,103496990,1
100261271,113854098,2
100261271,104476024,2
100261271,60004505,2
100261271,60033011,8
100261271,104676705,3
100261271,60013609,13
100261271,60024997,2
100261271,60022134,1
100261271,120246201,1
100261271,103097537,1
100261271,103268808,1
100261271,120368546,1
100261271,60082102,2
100261271,60020760,4
100261271,104475822,1
100261271,114027201,1
104476028,103496990,1
104476028,113854098,2
104476028,104476024,2
104476028,60004505,2
104476028,60022134,1
104476028,120246201,1
104476028,103097537,1
104476028,103268808,1
104476028,120368546,1
103496990,113854098,1
103496990,104476024,1
103496990,60004505,1
113854098,104476024,2
113854098,60004505,2
113854098,60022134,1
113854098,120246201,1
113854098,103097537,1
113854098,103268808,1
113854098,120368546,1
104476024,60004505,2
104476024,60022134,1
104476024,120246201,1
104476024,103097537,1
104476024,103268808,1
104476024,120368546,1
60004505,60022134,1
60004505,120246201,1
60004505,103097537,1
60004505,103268808,1
60004505,120368546,1
60019778,60000762,1
60019778,60030168,1
60019778,60013881,1
60019778,60015481,1
60000762,60030168,1
60000762,60013881,1
60000762,60015481,1
60030168,60013881,1
60030168,60015481,1
60013881,60015481,1
60033011,104676705,10
60033011,60013609,44
60033011,60024997,8
60033011,60082102,6
60033011,60020760,12
60033011,104475822,3
60033011,114027201,3
104676705,60013609,21
104676705,60024997,4
104676705,60082102,2
104676705,60020760,4
104676705,104475822,1
104676705,114027201,1
60013609,60024997,18
60013609,60082102,10
60013609,60020760,20
60013609,104475822,5
