id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom,sum_paper,lower_full_name
56362964700,1,Razaad I.N.,Indah Nurul,Razaad,Indah Nurul Razaad,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,indah nurul razaad
55780678100,2,Hasibuan M.A.,Muhammad Azani,Hasibuan,Muhammad Azani Hasibuan,60103730,Telkom University,"Jl.Telekomunikasi 1, Dayeuh Kolot",Bandung West Java,West Java,Indonesia,40257,no,1,muhammad azani hasibuan
55780530900,1,Rinaldi,,Rinaldi,Rinaldi,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,rinaldi
55751952200,1,Rahman M.Z.,Muhammad Zaki,Rahman,Muhammad Zaki Rahman,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,muhammad zaki rahman
55813086900,2,Manurung H.M.,Hisar Maruli,Manurung,Hisar Maruli Manurung,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,6,hisar maruli manurung
55355367300,1,Karnida Y.Y.,Yoke Yuni,Karnida,Yoke Yuni Karnida,113062885,Head Office,"Tbk, Jalan Japati No. 1",Bandung,,Indonesia,40133,no,1,yoke yuni karnida
55356342100,1,Moerita G.,Genta,Moerita,Genta Moerita,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,genta moerita
55320402200,1,Saifulhaq H.,Hamzah,Saifulhaq,Hamzah Saifulhaq,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,hamzah saifulhaq
56071267700,0,Sari N.A.,Nita Arryani,Sari,Nita Arryani Sari,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,nita arryani sari
57035637000,1,Adha M.S.,Moch Sidhki,Adha,Moch Sidhki Adha,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,moch sidhki adha
57035596300,1,Melia T.,Tisha,Melia,Tisha Melia,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,tisha melia
56071622700,0,Achmad F.,Fathiya,Achmad,Fathiya Achmad,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,fathiya achmad
56071233900,0,Gloria I.S.,Irene Sherlyta,Gloria,Irene Sherlyta Gloria,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,irene sherlyta gloria
55530958800,0,Koeanan E.M.,Elisabeth Martha,Koeanan,Elisabeth Martha Koeanan,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,elisabeth martha koeanan
6701908788,16,Bressan S.,Stéphane,Bressan,Stéphane Bressan,60017161,National University of Singapore,21 Lower Kent Ridge Road,Singapore City,,Singapore,119077,no,8,stéphane bressan
8659072400,3,Liau C.Y.,Chu Yee,Liau,Chu Yee Liau,100248703,Department of Computer Science,21 Lower Kent Ridge Road,Singapore City,,Singapore,119077,no,2,chu yee liau
57207295828,0,Lailyt I.L.,Irma Latifatul,Lailyt,Irma Latifatul Lailyt,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,irma latifatul lailyt
57207295985,0,Komarudint O.,Oman,Komarudint,Oman Komarudint,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,oman komarudint
57194029220,1,Sakinah S.I.,Siti Ina,Sakinah,Siti Ina Sakinah,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,siti ina sakinah
57207302399,0,Fadhlillah H.S.,Hafiyyan Sayyid,Fadhlillah,Hafiyyan Sayyid Fadhlillah,110895154,Faculty of Computer Science,,Depok,Java,Indonesia,16424,no,1,hafiyyan sayyid fadhlillah
57203204096,0,Kurniawan A.,Andri,Kurniawan,Andri Kurniawan,60069377,Universitas Indonesia,,Depok,Java,Indonesia,16424,no,1,andri kurniawan
