Nama,ID Scopus,Oktober Tarik,Akun Scopus 2,Affiliation,Dosen Dengan Gelar
Iik Wilarso,57195612312,ya,"Wilarso, Iik; Wilarso I.",UI,"Iik Wilarso, dr., MTI."
Ika Alfina,55867324700,ya,"Alfina, Ika; Alfina, I.",UI,"Ika Alfina, S.Kom., M.Kom."
Indra Budi,14021131100,ya,"Budi, Indra; Budi, I.; Budi I.",UI,"Indra Budi, S.Kom., M.Kom., Dr."
Kasiyah,56461394900,ya,"Kasiyah, Kasiyah; Junus, Kasiyah M.; Junus; Kasiyah; Junus, Kasiyah; Junus K.; Junus K.M.",UI,"Kasiyah, Dra., M.Sc., Dr."
Lim Yohanes Stefanus,14825905800,ya,"Stefanus, L. Yohanes; Stefanus, Yohanes; Stefanus L.Y.; Stefanus Y.",UI,"Lim Yohanes Stefanus, Drs., M.Math., Ph.D."
M. Ivan Fanany,6505757323,ya,"Fanany, Mohamad Ivan; Fanany, M. I.; Fanani, Mohamad Ivan; Ivan Fanany, M.; Ivan, Fanany M.; Fanany, Ivan; Fanany, Mohamad I.; Fanany, M. Ivan; Fanany M.I.; Ivan Fanany M.; Ivan F.M.; Fanany Ivan",UI,"M. Ivan Fanany, S.Si., M.Kom., Ph.D."
Mirna Adriani,35611399700,ya,"Adriani, Mirna; Adriani, Mirnaa; Adriani, Mima; Adriani M.",UI,"Mirna Adriani, Dra., Ph.D."
Muhammad Rifki Shihab,56363073800,ya,"Shihab, Muhammad Rifki; Shihab, Muhammad R.; Shihab, M. Rifki; Shihab, M. R.; Shihab, Rifki; Shihab M.R.; Shihab R.",UI,"Muhammad Rifki Shihab, B.B.A., M.Sc."
Petrus Mursanto,24176993000,ya,"Mursanto, Petrus; Mursanto, Dan Petrus; Mursanto, P.; Mursanto P.; Mursanto D.P.",UI,"Petrus Mursanto, Ir., M.Sc., Dr."
Puspa Indahati Sandhyaduhita,56118787200,ya,"Sandhyaduhita, Puspa Indahati; Sandhyaduhita, Puspa; Sandhyaduhita, Puspa I.; Sandhyaduhita, P.; Sandhyaduhita P.I.; Sandhyaduhita P.",UI,"Puspa Indahati Sandhyaduhita, S.T., M.Sc."
Putu Wuri Handayani,37013424100,ya,"Handayani, Putu Wuri; Handayani, Putu W.; Handayani, Putu; Handayani, P. W.; Handayani P.W.; Handayani P.",UI,"Putu Wuri Handayani, S.Kom., M.Sc., Dr."
R. Yugo Kartono Isal,6507865865; 57210461355,ya,"Isal, R. Yugo Kartono; Isal, Yugo K.; Isal, R. Y.K.; Isal, Yugo Kartono; Isal, Yugo K.; Isal R.Y.K.; Isal Y.K.; Yugo Kartono Isal R.; Isal, R. Yugo Kartono; Yugo Kartono Isal, R.; Isal, R. Yugo K.",UI,"R. Yugo Kartono Isal, Drs., M.Sc., Dr."
