id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom
24176993000,10,Mursanto P.,Petrus,Mursanto,Petrus Mursanto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
8568432600,18,Jatmiko W.,Wisnu,Jatrniko,Wisnu Jatmiko,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
8579933000,2,Herry,,Herry,Herry,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
23467371600,8,Krisnadhi A.A.,Adila Alfa,Krisnadhi,Adila Alfa Krisnadhi,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55625531300,7,Wibisono A.,Ari,Wibisono,Ari Wibisono,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57202130922,0,Yohanes A.Y.L.,Adhi Yuniarto Laurentius,Yohanes,Adhi Yuniarto Laurentius Yohanes,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55636539300,2,Kurniawan A.,Agus,Kurniawan,Agus Kurniawan,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57208012269,1,Ferdinansyah A.,Alex,Ferdinansyah,Alex Ferdinansyah,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55008384600,2,Vania C.,Clara,Vania,Clara Vania,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55314376300,4,Distiawan B.T.,Bayu T.,Distiawan,Bayu Distiawan T,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
35079468700,4,Syalim A.,Amril,Syalim,Amril Syalim,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55315269500,1,Satria R.,Riri,Satria,Riri Satria,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55014342100,1,Solichah I.,Iis,Solichah,Iis Solichah,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
6506236236,4,Yazid S.,Setiadi,Yazid,Setiadi Yazid,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
9334901600,7,Basaruddin T.,T.,Basaruddin,T. Basaruddin,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
6505757323,10,Fanany M.I.,Mohamad Ivan,Fanany,M. Ivan Fanany,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
54974181100,8,Ma'sum M.A.,M. Anwar,Ma'sum,Muhammad Anwar Ma’sum,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
16423632300,6,Suhartanto H.,Heru,Suhartanto,Heru Suhartanto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
15064729000,8,Saptawijaya A.,Ari,Saptawijaya,Ari Saptawijaya,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
24338175100,4,Denny,,Denny,Denny,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57195612312,0,Wilarso I.,Iik,Wilarso,Iik Wilarso,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
36991829400,7,Anggorojati B.,Bayu,Anggorojati,Bayu Anggorojati,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
24537903000,2,Widjaja B.,Belawati H.,Widjaja,Belawati H. Widjaja,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57191851850,1,Ranti B.,Benny,Ranti,Benny Ranti,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55396730800,9,Santoso H.B.,Harry Budi,Santoso,Harry Budi Santoso,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57208573398,0,Wirani Y.,Yekti,Wirani,Yekti Wirani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55625472900,2,Guarddin G.,Gladhi,Guarddin,Gladhi Guarddin,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55625410200,3,Rakun E.,Erdefi,Rakun,Erdefi Rakun,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55089397700,2,Aji R.F.,Rizal Fathoni,Aji,Rizal Fathoni Aji,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57190002779,2,Tanaya D.,DIpta,Tanaya,Dipta Tanaya,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55893882700,2,Setiadi F.,Farisya,Setiadi,Farisya Setiadi,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57193832526,2,Hilman M.H.,M. H.,Hilman,Muhammad Hafizhuddin Hilman,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57203838557,1,Okky Ibrohim M.,Muhammad Okky,Ibrohim,Muhammad Okky Ibrohim,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55314037600,3,Mahendra R.,Rahmad,Mahendra,Rahmad Mahendra,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57188985063,1,Nur'Aini K.,Khumaisa,Nur'Aini,Khumaisa Nur’aini,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55513678400,2,Rahadianti L.,Laksmita,Rahadianti,Laksmita Rahadianti,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
14825905800,2,Stefanus L.Y.,L. Yohanes,Stefanus,Lim Yohanes Stefanus,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57210302469,1,Fitriah N.,N.,Fitriah,Nilam Fitriah,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56110326700,2,Setiawan S.C.,Suryana C.,Setiawan,Suryana Setiawan,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
